modelo,accuracy,precision,recall,f1,roc_auc,cv_auc_media,cv_auc_std
GradientBoosting,0.9536,0.9544,0.999,0.9762,0.689,0.7068,0.0208
XGBoost,0.9526,0.9552,0.9971,0.9757,0.6733,0.6561,0.019
LogisticRegression,0.9531,0.9531,1.0,0.976,0.6652,0.6692,0.0298
LogisticRegression (balanceado),0.6484,0.9661,0.6538,0.7799,0.6637,,
RandomForest,0.9526,0.9526,1.0,0.9757,0.6594,,
RandomForest (balanceado),0.9545,0.9548,0.9995,0.9767,0.6561,,
DecisionTree (balanceado),0.6289,0.9637,0.6343,0.7651,0.5981,,
DecisionTree,0.9526,0.9539,0.9985,0.9757,0.5852,,
KNN,0.9522,0.9526,0.9995,0.9755,0.5575,,
